league,tip_id,recorded_at,match_id,home_team,away_team,match_date,market,bet_type,line,direction,model_prob,model_odds,bm_odds,edge,stake,status,actual_value,profit
bundesliga,8d9d598f851f,2026-05-15 13:35,0,Werder Bremen,Dortmund,,corners,1x2,0.0,1,0.6678,1.5,2.51,0.6762,1.0,lost,4:5,-1.0
bundesliga,c404bc8b44a9,2026-05-15 23:03,0,M'gladbach,Hoffenheim,,shots_on_target,1x2,0.0,1,0.4148,2.41,3.32,0.3771,1.0,won,6:3,2.32
bundesliga,43db250527ce,2026-05-16 08:20,0,Leverkusen,Hamburg,,fouls,1x2,0.0,1,0.4356,2.3,2.58,0.1238,1.0,lost,8:11,-1.0
bundesliga,7d0a8411acfc,2026-05-16 08:24,0,Leverkusen,Hamburg,,shots_on_target,away,3.5,O,0.6373,1.57,1.86,0.1854,1.0,won,6,0.86
chanceliga,de72a64bbbfe,2026-05-10 17:20,8288,FK Jablonec,FC Hradec Králové,10/05/2026 18:30,yellow_cards,away,1.5,U,0.5237,1.91,2.64,0.3826,1.0,lost,2,-1.0
chanceliga,f9041ddcd649,2026-05-10 17:20,8288,FK Jablonec,FC Hradec Králové,10/05/2026 18:30,corners,home,4.5,U,0.427,2.34,2.73,0.1657,1.0,lost,7,-1.0
chanceliga,d552e8e2fb7f,2026-05-11 17:30,8311,FK Mladá Boleslav,FK Dukla Praha,12/05/2026 17:30,shots_on_target,total,8.5,O,0.5098,1.96,2.26,0.1521,1.0,lost,7,-1.0
chanceliga,f150ed40afa6,2026-05-11 17:50,8312,FC Zlín,FK Teplice,12/05/2026 17:30,shots_on_target,total,7.5,O,0.634,1.58,2.08,0.3187,1.0,won,8,1.08
chanceliga,2489623e4be1,2026-05-11 19:11,8293,FC Hradec Králové,FC Slovan Liberec,13/05/2026 17:30,yellow_cards,1x2,0.0,X,0.3385,2.95,4.29,0.4522,1.0,won,2:2,3.29
chanceliga,f3a853b8d324,2026-05-11 19:11,8293,FC Hradec Králové,FC Slovan Liberec,13/05/2026 17:30,shots_on_target,total,8.5,O,0.5594,1.79,2.32,0.2978,1.0,lost,7,-1.0
chanceliga,c80d33f61c0a,2026-05-11 19:17,8293,FC Hradec Králové,FC Slovan Liberec,13/05/2026 17:30,fouls,1x2,0.0,1,0.4416,2.26,2.86,0.263,1.0,lost,14:20,-1.0
chanceliga,820a2a566030,2026-05-15 15:01,8296,FC Slovan Liberec,AC Sparta Praha,17/05/2026 17:00,yellow_cards,away,2.5,O,0.4659,2.15,2.81,0.3092,1.0,lost,0,-1.0
chanceliga,fc6c44ec6f56,2026-05-15 15:15,8297,FC Viktoria Plzeň,FK Jablonec,17/05/2026 17:00,shots_on_target,away,3.5,O,0.5821,1.72,2.5,0.4552,1.0,lost,2,-1.0
chanceliga,7d7e393a249d,2026-05-24 13:40,8300,FK Jablonec,FC Slovan Liberec,24/05/2026 14:00,shots_on_target,1x2,0.0,2,0.4563,2.19,2.88,0.3141,1.0,lost,8:3,-1.0
eredivisie,c404bc8b44a9,2026-05-16 17:55,0,FC Volendam,Telstar,,shots_on_target,1x2,0.0,1,0.5938,1.68,2.03,0.2054,1.0,won,8:2,1.03
eredivisie,da729b306808,2026-05-16 17:57,0,FC Volendam,Telstar,,yellow_cards,1x2,0.0,X,0.375,2.67,3.85,0.4438,1.0,won,2:2,2.85
eredivisie,efc8110cf5c0,2026-05-16 18:15,0,Heracles Almelo,FC Groningen,,fouls,total,20.5,O,0.802,1.25,1.72,0.3794,1.0,lost,13,-1.0
eredivisie,e3c7e611bbe3,2026-05-16 18:18,0,Heracles Almelo,FC Groningen,,yellow_cards,1x2,0.0,2,0.4375,2.29,2.88,0.26,1.0,lost,1:1,-1.0
eredivisie,8d9d598f851f,2026-05-17 09:31,0,sc Heerenveen,Ajax,,corners,1x2,0.0,1,0.5701,1.75,2.11,0.2029,1.0,won,10:6,1.11
eredivisie,56e9bf7c4953,2026-05-17 09:45,0,Sparta Rotterdam,Excelsior Rotterdam,,shots_on_target,total,9.5,O,0.593,1.69,1.98,0.1741,1.0,lost,9,-1.0
la_liga,8d9d598f851f,2026-05-17 18:28,0,Oviedo,Alaves,,corners,1x2,0.0,1,0.5455,1.83,2.59,0.4128,1.0,won,5:2,1.59
la_liga,43db250527ce,2026-05-17 18:34,0,Barcelona,Betis,,fouls,1x2,0.0,1,0.6134,1.63,2.15,0.3188,1.0,lost,7:8,-1.0
ligue1,d956677da01f,2026-05-12 22:34,l1_championship_match_73370,Brest,Strasbourg,2026-05-13,shots_on_target,1x2,0.0,1,0.6125,1.63,1.98,0.2127,1.0,won,6:5,0.98
ligue1,b4ec0adc78a6,2026-05-12 22:41,l1_championship_match_73371,RC Lens,PSG,2026-05-13,shots_on_target,1x2,0.0,1,0.4771,2.1,2.91,0.3884,1.0,won,10:3,1.91
ligue1,15c900842b28,2026-05-14 19:41,l1_championship_match_73421,Paris FC,PSG,2026-05-17,corners,1x2,0.0,1,0.4375,2.29,3.39,0.4831,1.0,lost,3:3,-1.0
ligue1,da729b306808,2026-05-17 19:58,0,Brest,Angers SCO,,yellow_cards,1x2,0.0,X,0.375,2.67,3.67,0.3762,1.0,won,1:1,2.67
nikeliga,41062908f65f,2026-05-09 13:53,2799,FC Tatran Prešov,MFK Skalica,"sobota 09.05.2026, 20:30",yellow_cards,total,3.5,U,0.4804,2.08,3.56,0.7102,1.0,lost,5,-1.0
nikeliga,912150c93bf5,2026-05-09 13:53,2800,FC Košice,KFC Komárno,"nedeľa 10.05.2026, 17:00",corners,total,8.5,U,0.5221,1.92,2.59,0.3522,1.0,won,8,1.59
nikeliga,f8412d43dfb0,2026-05-09 13:53,2801,MFK Ružomberok,AS Trenčín,"sobota 09.05.2026, 18:00",yellow_cards,home,1.5,U,0.5353,1.87,2.36,0.2633,1.0,won,0,1.36
nikeliga,16fb2ff890bd,2026-05-09 13:53,2771,FC Spartak Trnava,MŠK Žilina,"nedeľa 10.05.2026, 19:00",yellow_cards,total,3.5,U,0.5198,1.92,2.38,0.2371,1.0,lost,6,-1.0
nikeliga,9869dfb3681b,2026-05-09 13:53,2801,MFK Ružomberok,AS Trenčín,"sobota 09.05.2026, 18:00",fouls,total,25.5,U,0.6362,1.57,1.92,0.2215,1.0,lost,26,-1.0
nikeliga,c4073b42ce05,2026-05-09 13:53,2799,FC Tatran Prešov,MFK Skalica,"sobota 09.05.2026, 20:30",corners,1x2,0.0,2,0.4759,2.1,2.56,0.2183,1.0,won,1:2,1.56
nikeliga,4a80e3329361,2026-05-09 14:09,2770,MFK Zemplín Michalovce,FC DAC 1904 Dunajská Streda,"sobota 09.05.2026, 18:00",shots_on_target,1x2,0.0,1,0.4476,2.23,2.96,0.3249,1.0,lost,3:3,-1.0
nikeliga,bb3030bd204d,2026-05-15 10:23,2774,ŠK Slovan Bratislava,MFK Zemplín Michalovce,"sobota 16.05.2026, 17:00",corners,home,5.5,U,0.748,1.34,2.37,0.7728,1.0,lost,6,-1.0
nikeliga,15532c74033b,2026-05-15 10:30,2774,ŠK Slovan Bratislava,MFK Zemplín Michalovce,"sobota 16.05.2026, 17:00",corners,1x2,0.0,2,0.4928,2.03,4.36,1.1486,1.0,lost,6:2,-1.0
nikeliga,2dca1cdb6706,2026-05-15 10:44,2775,MŠK Žilina,FK Železiarne Podbrezová,"sobota 16.05.2026, 17:00",corners,1x2,0.0,2,0.5208,1.92,2.74,0.427,1.0,lost,4:3,-1.0
nikeliga,efb9ec9563fd,2026-05-15 22:54,2775,MŠK Žilina,FK Železiarne Podbrezová,"sobota 16.05.2026, 17:00",shots_on_target,1x2,0.0,2,0.3692,2.71,3.71,0.3697,1.0,won,1:5,2.71
premier_league,65b054ad0974,2026-05-15 12:36,0,Everton,Sunderland,,shots_on_target,home,4.5,O,0.5975,1.67,2.08,0.2428,1.0,lost,4,-1.0
premier_league,8d9d598f851f,2026-05-15 12:57,0,Leeds,Brighton,,corners,1x2,0.0,1,0.5747,1.74,2.23,0.2816,1.0,lost,7:8,-1.0
premier_league,c404bc8b44a9,2026-05-15 13:22,0,Bournemouth,Man City,,shots_on_target,1x2,0.0,1,0.5,2.0,3.52,0.76,1.0,lost,2:5,-1.0
premier_league,da729b306808,2026-05-15 13:24,0,Bournemouth,Man City,,yellow_cards,1x2,0.0,X,0.3333,3.0,3.66,0.2199,1.0,lost,4:2,-1.0
primeira_liga,d6a628a7cc5b,2026-05-16 10:55,0,Moreirense,AVS,,yellow_cards,1x2,0.0,1,0.4356,2.3,2.91,0.2676,1.0,lost,2:3,-1.0
primeira_liga,fbf77811094e,2026-05-16 11:19,0,Estoril,Benfica,,shots_on_target,total,9.5,U,0.6088,1.64,2.03,0.2359,1.0,lost,14,-1.0
primeira_liga,90dac5b35006,2026-05-16 11:25,0,Casa Pia,Rio Ave,,shots_on_target,1x2,0.0,2,0.4688,2.13,3.32,0.5564,1.0,lost,5:3,-1.0
primeira_liga,844f466972f6,2026-05-16 11:35,0,Sp Lisbon,Gil Vicente,,corners,1x2,0.0,2,0.4345,2.3,5.4,1.3463,1.0,lost,6:1,-1.0
proleague,da729b306808,2026-05-14 22:06,0,OH Leuven,Royal Antwerp FC,,yellow_cards,1x2,0.0,X,0.4074,2.45,3.75,0.5277,1.0,won,1:1,2.75
proleague,8ef9058b8212,2026-05-16 18:31,0,Club Brugge,Royale Union St-Gilloise,,fouls,1x2,0.0,2,0.7721,1.3,1.48,0.1427,1.0,lost,13:7,-1.0
proleague,7066c63e3fb6,2026-05-18 20:49,0,KRC Genk,Royal Antwerp FC,,yellow_cards,total,3.5,U,0.5754,1.74,2.11,0.2141,1.0,won,0:2,0.74
proleague,844f466972f6,2026-05-24 13:19,0,STVV,KV Mechelen,,corners,1x2,0.0,2,0.3412,2.93,3.58,0.2215,1.0,lost,2:2,-1.0
proleague,894ee03595b6,2026-05-24 13:33,0,Royale Union St-Gilloise,Royal Sporting Club Anderlecht,,corners,1x2,0.0,2,0.3333,3.0,4.43,0.4765,1.0,lost,4:1,-1.0
proleague,69c8999327ee,2026-05-24 13:34,0,STVV,KV Mechelen,,yellow_cards,1x2,0.0,X,0.3294,3.04,3.66,0.2056,1.0,won,2:2,2.66
serie_a,56ba8b57fd1f,2026-05-24 14:01,0,Cremonese,Como,,shots_on_target,1x2,0.0,1,0.3611,2.77,3.89,0.4047,1.0,lost,1:6,-1.0
serie_a,5e2b841812fa,2026-05-24 14:02,0,Cremonese,Como,,corners,1x2,0.0,1,0.3333,3.0,3.7,0.2332,1.0,lost,2:4,-1.0
serie_a,e805344627c4,2026-05-24 14:04,0,Lecce,Genoa,,shots_on_target,1x2,0.0,2,0.5118,1.95,2.9,0.4842,1.0,lost,4:1,-1.0
serie_a,1986ebc51b6d,2026-05-24 14:06,0,Torino,Juventus,,corners,1x2,0.0,1,0.4363,2.29,3.66,0.5969,1.0,lost,6:6,-1.0
serie_a,09cabf8de131,2026-05-24 14:11,0,Verona,Roma,,corners,1x2,0.0,1,0.4167,2.4,4.15,0.7293,1.0,lost,6:6,-1.0
